,City,Lat,Lon,Cloudiness,Date,Humidity,Country,Wind Speed,Max Temp
0,butaritari,3.07,172.79,100,1565578479,75,KI,9.1,82.24
1,kodiak,57.79,-152.41,1,1565578628,49,US,5.82,71.6
2,tazovskiy,67.47,78.7,40,1565578629,74,RU,10.02,44.25
3,east london,-33.02,27.91,20,1565578631,82,ZA,5.7,49.47
4,seljord,59.49,8.63,100,1565578632,93,NO,0.6,57.99
5,hilo,19.73,-155.09,75,1565578633,65,US,10.29,82.4
6,puerto ayora,-0.74,-90.35,0,1565578635,97,EC,1.01,64.99
7,severo-kurilsk,50.68,156.12,59,1565578636,96,RU,14.9,49.47
8,bluff,-46.6,168.33,57,1565578637,74,NZ,10.0,46.99
9,abingdon,51.67,-1.28,40,1565578638,100,GB,3.49,57.0
10,avarua,-21.21,-159.78,96,1565578640,73,CK,5.82,77.0
11,tromso,69.65,18.96,90,1565578641,87,NO,13.87,54.0
12,mount isa,-20.73,139.5,0,1565578642,27,AU,9.17,64.4
13,talakan,50.32,130.37,0,1565578643,49,RU,5.99,76.47
14,yellowknife,62.46,-114.35,20,1565578645,59,CA,5.82,62.6
15,mar del plata,-38.0,-57.56,0,1565578646,87,AR,8.05,51.01
16,ushuaia,-54.8,-68.3,20,1565578489,94,AR,16.11,32.0
17,rio gallegos,-51.62,-69.22,75,1565578649,86,AR,8.05,28.4
18,kapaa,22.08,-159.32,75,1565578650,58,US,8.05,87.8
19,saint anthony,45.02,-93.22,1,1565578651,83,US,4.56,73.0
20,upernavik,72.79,-56.15,81,1565578652,66,GL,9.08,44.07
21,chokurdakh,70.63,147.92,10,1565578654,51,RU,13.04,57.57
22,mahebourg,-20.41,57.7,75,1565578655,83,MU,14.99,71.6
23,saskylakh,71.92,114.08,0,1565578656,39,RU,10.51,73.42
24,chulman,56.85,124.91,0,1565578657,50,RU,2.26,74.5
25,norman wells,65.28,-126.83,75,1565578659,66,CA,2.24,55.4
26,punta arenas,-53.15,-70.92,0,1565578660,73,CL,6.93,26.6
27,praia,14.92,-23.51,75,1565578661,74,CV,5.82,78.8
28,alizai,33.54,70.35,2,1565578663,63,PK,1.66,78.45
29,hermanus,-34.42,19.23,37,1565578664,97,ZA,4.0,51.01
30,rikitea,-23.12,-134.97,100,1565578473,84,PF,17.2,72.87
31,barentu,15.11,37.59,100,1565578666,84,ER,4.0,69.45
32,bambous virieux,-20.34,57.76,75,1565578668,83,MU,14.99,71.6
33,ahipara,-35.17,173.17,89,1565578669,100,NZ,30.38,61.0
34,tasiilaq,65.61,-37.64,0,1565578670,93,GL,6.93,39.2
35,ancud,-41.87,-73.82,90,1565578672,100,CL,1.79,42.8
36,dikson,73.51,80.55,100,1565578521,89,RU,11.1,40.47
37,vaini,-21.2,-175.2,20,1565578674,69,TO,5.82,80.6
38,chuy,-33.7,-53.46,39,1565578676,93,UY,7.18,49.84
39,batagay,67.63,134.63,0,1565578677,35,RU,4.29,76.47
40,synya,65.37,58.04,100,1565578678,78,RU,12.62,41.02
41,port alfred,-33.59,26.89,55,1565578679,68,ZA,5.01,57.0
42,cairns,-16.92,145.77,0,1565578660,36,AU,18.34,78.01
43,provideniya,64.38,-173.3,90,1565578682,87,RU,13.42,55.4
44,port elizabeth,-33.92,25.57,0,1565578683,58,ZA,17.22,57.2
45,aktau,43.65,51.2,0,1565578684,72,KZ,11.18,66.2
46,kruisfontein,-34.0,24.73,0,1565578686,68,ZA,12.35,48.04
47,talara,-4.58,-81.27,0,1565578599,87,PE,23.49,62.8
48,cherskiy,68.75,161.3,36,1565578688,54,RU,14.43,60.1
49,hualmay,-11.1,-77.61,88,1565578449,87,PE,18.25,58.84
50,hithadhoo,-0.6,73.08,100,1565578609,77,MV,15.9,83.67
51,albany,42.65,-73.76,1,1565578420,82,US,6.17,68.0
52,micheweni,-4.97,39.83,13,1565578693,78,TZ,14.36,75.75
53,atar,20.52,-13.05,2,1565578695,32,MR,12.26,88.9
54,steamboat springs,40.48,-106.83,1,1565578696,82,US,4.7,66.2
55,qaanaaq,77.48,-69.36,85,1565578697,75,GL,1.12,40.12
56,namibe,-15.2,12.15,3,1565578699,83,AO,5.37,62.97
57,sao sebastiao,-23.76,-45.41,2,1565578700,85,BR,6.62,69.82
58,tegh,39.56,46.48,28,1565578701,91,AM,5.3,51.45
59,pasighat,28.07,95.33,9,1565578702,52,IN,1.01,90.15
60,te anau,-45.42,167.72,79,1565578704,87,NZ,2.15,41.02
61,new norfolk,-42.78,147.06,75,1565578705,58,AU,14.99,54.0
62,ketchikan,55.34,-131.65,75,1565578706,72,US,11.41,64.4
63,cape town,-33.93,18.42,75,1565578472,93,ZA,3.36,55.0
64,tiksi,71.69,128.87,0,1565578709,59,RU,5.95,60.64
65,nome,64.5,-165.41,90,1565578710,93,US,11.41,59.0
66,jamestown,42.1,-79.24,1,1565578593,72,US,4.7,69.01
67,barrow,71.29,-156.79,90,1565578713,87,US,13.87,44.6
68,clyde river,70.47,-68.59,90,1565578484,100,CA,11.41,41.0
69,college,64.86,-147.8,1,1565578426,37,US,10.29,71.6
70,tigil,57.8,158.67,21,1565578716,72,RU,13.85,59.74
71,taoudenni,22.68,-3.98,66,1565578718,10,ML,5.3,98.97
72,georgetown,6.8,-58.16,40,1565578600,94,GY,4.7,78.8
73,pesochnoye,58.01,39.18,0,1565578721,87,RU,2.53,43.35
74,hobart,-42.88,147.33,75,1565578471,58,AU,14.99,54.0
75,hecun,36.53,114.11,100,1565578723,58,CN,2.1,77.92
76,ribeira grande,38.52,-28.7,69,1565578724,82,PT,11.25,70.17
77,aswan,24.09,32.91,0,1565578726,16,EG,3.0,76.47
78,saint-philippe,-21.36,55.77,75,1565578727,83,RE,20.8,69.8
79,diffa,13.32,12.61,100,1565578728,72,NE,20.65,78.82
